Classificação,URL,Malicious,Suspicious,Undetected,Harmless,Timeout,Erro
Maligna,http://59.180.138.72:54794/i,12,2,30,47,0,
Maligna,http://79.29.100.219:58828/bin.sh,12,1,30,48,0,
Maligna,http://220.201.27.9:47541/bin.sh,13,1,29,47,0,
Maligna,http://220.201.27.9:47541/i,17,2,29,42,0,
Maligna,http://60.23.239.136:47940/i,12,2,29,47,0,
Maligna,http://27.215.80.81:58529/i,14,3,29,45,0,
Maligna,http://78.187.104.169:56759/i,16,1,28,46,0,
Maligna,http://27.207.247.91:59461/bin.sh,14,0,31,45,0,
Maligna,http://221.14.107.151:48123/i,15,2,29,45,0,
Maligna,http://219.155.201.211:50456/bin.sh,14,2,31,44,0,
Maligna,http://42.228.236.172:34448/i,13,4,28,46,0,
Maligna,http://27.207.246.61:38697/bin.sh,13,2,31,44,0,
Maligna,http://219.155.201.211:50456/i,14,2,29,46,0,
Maligna,http://60.18.98.101:50033/bin.sh,14,1,30,45,0,
Maligna,http://222.127.156.105:38221/bin.sh,15,2,30,44,0,
Maligna,http://222.127.156.105:38221/i,6,1,32,51,0,
Maligna,http://60.18.98.101:50033/i,14,1,30,45,0,
Maligna,http://222.139.194.242:60965/i,17,1,29,44,0,
Maligna,http://79.29.100.219:58828/i,12,1,32,46,0,
Maligna,http://60.23.238.117:50409/i,5,0,33,52,0,
Maligna,http://222.139.194.242:60965/bin.sh,15,1,29,46,0,
Maligna,http://222.137.141.81:39246/i,12,1,30,48,0,
Maligna,http://27.207.246.61:38697/i,3,0,34,53,0,
Maligna,http://42.179.150.17:56797/i,13,1,30,46,0,
Maligna,http://42.59.236.181:57635/i,16,1,30,43,0,
Maligna,http://39.79.68.65:34070/i,4,0,33,53,0,
Maligna,http://61.137.153.247:41208/bin.sh,14,3,28,45,0,
Maligna,http://42.55.227.16:40437/i,13,2,29,46,0,
Maligna,http://42.179.150.17:56797/bin.sh,6,1,34,49,0,
Maligna,http://61.137.192.112:51410/i,14,2,30,45,0,
Maligna,http://42.59.236.181:57635/bin.sh,14,1,30,45,0,
Maligna,http://61.53.75.162:37419/i,15,2,29,45,0,
Maligna,http://61.53.75.162:37419/i,15,2,29,45,0,
Maligna,http://78.38.18.210:38372/i,10,1,31,48,0,
Maligna,http://222.127.73.15:41760/i,18,1,29,43,0,
Maligna,http://93.157.253.209:56517/i,19,1,27,43,0,
Maligna,http://219.154.185.65:55284/i,3,1,34,52,0,
Maligna,http://175.148.80.73:34858/i,3,1,33,53,0,
Maligna,http://125.44.190.92:60624/i,16,2,29,44,0,
Maligna,http://203.204.93.86:35425/bin.sh,4,0,33,53,0,
Maligna,http://124.234.131.24:53745/bin.sh,16,3,28,43,0,
Maligna,http://203.204.93.86:35425/i,3,0,34,53,0,
Maligna,http://115.56.157.204:43031/bin.sh,16,1,31,43,0,
Maligna,http://115.54.126.228:48759/i,3,0,34,53,0,
Maligna,http://120.28.197.69:53898/bin.sh,18,3,27,43,0,
Maligna,http://122.139.13.133:53319/i,3,0,34,53,0,
Maligna,http://183.151.174.249:60266/i,2,0,34,54,0,
Maligna,http://196.189.69.192:55987/i,16,2,27,46,0,
Maligna,http://115.55.37.155:44748/i,3,0,35,52,0,
Maligna,http://124.234.219.141:44247/bin.sh,15,2,29,45,0,
Legitima,https://www.nasa.gov,0,0,31,59,0,
Legitima,https://www.noaa.gov,0,0,31,59,0,
Legitima,https://www.nih.gov,0,0,32,58,0,
Legitima,https://www.cdc.gov,0,0,32,58,0,
Legitima,https://www.whitehouse.gov,0,0,30,60,0,
Legitima,https://www.congress.gov,0,0,33,57,0,
Legitima,https://www.loc.gov,0,0,32,58,0,
Legitima,https://www.si.edu,0,0,32,58,0,
Legitima,https://www.harvard.edu,0,0,31,59,0,
Legitima,https://www.mit.edu,0,0,32,58,0,
Legitima,https://www.stanford.edu,0,0,31,59,0,
Legitima,https://www.berkeley.edu,0,0,32,58,0,
Legitima,https://www.princeton.edu,0,0,31,59,0,
Legitima,https://www.yale.edu,0,0,32,58,0,
Legitima,https://www.cornell.edu,0,0,31,59,0,
Legitima,https://www.cam.ac.uk,0,0,33,57,0,
Legitima,https://www.ox.ac.uk,0,0,32,58,0,
Legitima,https://www.imperial.ac.uk,0,0,33,58,0,
Legitima,https://www.ucl.ac.uk,0,0,32,58,0,
Legitima,https://www.ed.ac.uk,0,0,35,56,0,
